400.578,2.38662,5.56555,11.5948,15.1735,19.4881,24.7248,17.6867,23.7019
400.529,3.18101,7.41805,15.4542,20.224,25.9747,32.9545,23.5737,31.5911
400.48,4.19908,9.79215,20.4002,26.6966,34.2878,43.5014,31.1183,41.7017
400.431,5.4897,12.8019,26.6704,34.902,44.8264,56.8719,40.6828,54.5191
400.383,7.10804,16.5758,34.5327,45.1909,58.041,73.6374,52.6759,70.591
400.334,9.11501,21.256,44.2831,57.9507,74.4291,94.4291,67.5491,90.5225
400.285,11.5763,26.9957,56.2408,73.599,94.5271,119.928,85.7893,114.966
400.236,14.561,33.9559,70.7411,92.5746,118.898,150.848,107.908,144.607
400.187,18.1392,42.3001,88.1248,115.324,148.116,187.917,134.425,180.143
400.138,22.3795,52.1884,108.725,142.282,182.741,231.845,165.849,222.254
400.089,27.3457,63.7694,132.852,173.856,223.292,283.294,202.652,271.574
400.04,33.0928,77.1716,160.774,210.395,270.221,342.833,245.243,328.65
399.991,39.663,92.4931,192.693,252.166,323.87,410.898,293.932,393.899
399.943,47.0807,109.791,228.731,299.326,384.44,487.744,348.903,467.566
399.894,55.3487,129.072,268.898,351.891,451.952,573.398,410.175,549.676
399.845,64.4433,150.28,313.082,409.712,526.215,667.616,477.573,639.996
399.796,74.3112,173.292,361.023,472.45,606.792,769.845,550.702,737.996
399.747,84.8667,197.907,412.305,539.559,692.983,879.197,628.926,842.824
399.698,95.9902,223.847,466.346,610.279,783.813,994.433,711.359,953.293
399.649,107.528,250.753,522.401,683.634,878.027,1113.96,796.865,1067.88
399.6,119.296,278.195,579.57,758.448,974.114,1235.87,884.07,1184.74
399.551,131.079,305.673,636.816,833.363,1070.33,1357.94,971.393,1301.76
399.503,142.642,332.638,692.993,906.878,1164.75,1477.73,1057.08,1416.6
399.454,153.734,358.503,746.878,977.395,1255.32,1592.64,1139.28,1526.75
399.405,164.095,382.666,797.218,1043.27,1339.93,1699.98,1216.07,1629.65
399.356,173.472,404.533,842.773,1102.89,1416.49,1797.12,1285.56,1722.78
399.307,181.622,423.539,882.369,1154.7,1483.05,1881.56,1345.96,1803.72
399.258,188.328,439.177,914.948,1197.34,1537.8,1951.03,1395.65,1870.32
399.209,193.405,451.016,939.613,1229.62,1579.26,2003.63,1433.28,1920.74
399.16,196.71,458.724,955.67,1250.63,1606.25,2037.87,1457.77,1953.56
399.111,198.149,462.079,962.661,1259.78,1618,2052.77,1468.43,1967.85
399.063,197.68,460.986,960.383,1256.8,1614.17,2047.92,1464.96,1963.19
399.014,195.318,455.476,948.904,1241.77,1594.88,2023.44,1447.45,1939.73
398.965,191.128,445.707,928.553,1215.14,1560.67,1980.04,1416.41,1898.13
398.916,185.232,431.956,899.906,1177.65,1512.52,1918.95,1372.71,1839.57
398.867,177.792,414.607,863.761,1130.35,1451.77,1841.88,1317.57,1765.68
398.818,169.011,394.13,821.101,1074.53,1380.07,1750.91,1252.5,1678.48
398.769,159.12,371.064,773.047,1011.64,1299.3,1648.44,1179.2,1580.25
398.72,148.368,345.991,720.811,943.283,1211.51,1537.06,1099.52,1473.47
398.671,137.013,319.512,665.647,871.092,1118.79,1419.42,1015.37,1360.7
398.623,125.311,292.223,608.796,796.695,1023.24,1298.19,928.652,1244.49
398.574,113.508,264.697,551.451,721.65,926.853,1175.91,841.177,1127.26
398.525,101.828,237.46,494.706,647.393,831.48,1054.91,754.62,1011.27
398.476,90.4719,210.978,439.536,575.195,738.753,937.265,670.464,898.49
398.427,79.6099,185.648,386.766,506.137,650.059,824.738,589.969,790.618
398.378,69.3788,161.79,337.061,441.091,566.516,718.747,514.149,689.012
398.329,59.8816,139.642,290.92,380.71,488.966,620.357,443.767,594.693
398.28,51.1877,119.369,248.683,325.437,417.976,530.291,379.339,508.353
398.231,43.3356,101.058,210.536,275.515,353.859,448.945,321.149,430.372
398.183,36.3354,84.7332,176.527,231.01,296.698,376.425,269.272,360.852
398.134,30.1732,70.3631,146.589,191.833,246.381,312.586,223.606,299.654
398.085,24.8153,57.8686,120.559,157.768,202.63,257.08,183.9,246.444
398.036,20.2126,47.1354,98.1983,128.506,165.047,209.398,149.791,200.735
397.987,16.3055,38.0239,79.2162,103.666,133.143,168.92,120.836,161.932
397.938,13.0272,30.379,63.2894,82.823,106.374,134.958,96.541,129.375
397.889,10.308,24.0379,50.0788,65.5351,84.1702,106.788,76.3897,102.37
397.84,8.07797,18.8376,39.2449,51.3574,65.961,83.6856,59.8638,80.2235
397.792,6.26957,14.6205,30.4592,39.8602,51.1945,64.9511,46.4622,62.264
397.743,4.81925,11.2384,23.4132,30.6394,39.3518,49.9262,35.7143,47.8607
397.694,3.66883,8.55563,17.8242,23.3254,29.958,38.0081,27.1888,36.4357
397.645,2.76619,6.45069,13.4389,17.5867,22.5875,28.657,20.4996,27.4715
