406.689,16,-35,182,-3,-56.2063,145,121
406.64,179.633,166.636,-14.3398,-31.3906,-81.6158,70.6408,-3.37025
406.591,45.2683,125.298,-33.7367,25.2241,242.03,59.2717,46.2507
406.542,33.891,-48.0746,52.8842,109.865,-89.3265,20.8968,-41.1329
406.493,-5.49066,33.539,51.5277,94.5195,-40.7346,-98.4963,124.493
406.445,32.1275,61.1696,154.198,-14.8497,25.8786,66.1158,-153.895
406.396,75.7527,39.8011,65.8719,58.7744,137.524,-82.2702,119.717
406.347,-72.6311,93.4377,-27.5021,19.4049,21.1694,113.349,112.36
406.298,77.9852,37.0739,201.16,157.054,108.809,111.991,114.003
406.249,-67.398,83.7085,-23.1775,7.70063,49.4541,-26.383,-65.3755
406.2,-76.7947,38.3433,-87.5909,29.3234,-74.9347,20.2321,-28.7708
406.151,15.8158,153.989,-75.018,-28.0605,32.6734,-77.1586,-46.1638
406.102,-97.5754,-60.3805,16.5824,22.5543,34.3015,-8.55269,-60.5605
406.053,25.0341,44.2328,-52.8113,149.202,-2.07668,-4.93839,-42.9569
406.005,-88.3555,12.8576,61.8069,-111.175,70.5518,14.6786,-5.34673
405.956,105.262,31.4803,-7.56292,-20.5834,-37.8264,-39.7085,47.2741
405.907,-6.11371,11.1028,208.106,-153,-15.2203,46.9082,84.9055
405.858,-21.5003,35.7259,-15.2273,24.5916,-81.6222,-4.47099,126.546
405.809,-39.8897,-31.6576,38.3947,41.2198,-90.0379,-50.8615,97.1887
405.76,-49.2816,66.9637,-14.9832,-37.1636,-6.43976,3.74886,15.8179
405.711,60.3352,63.5999,112.658,-0.554791,-4.82597,-22.6375,47.4412
405.662,-79.0506,102.242,22.3099,39.0683,77.8033,-53.0304,-32.9412
405.613,76.565,7.8745,-21.0739,-31.3144,-55.5768,47.5848,8.67176
405.565,-11.8135,72.5029,-163.507,82.311,51.0382,-60.8008,-74.7202
405.516,122.812,87.1435,63.0825,-27.0628,64.6754,18.8102,161.906
405.467,-139.574,-1.22726,-6.28662,-92.4693,-45.7053,105.44,14.5427
