30.83;1419.0793;1909.0188;2620.1531;2566.847;1226.4676
30.78;1481.0075;1985.2681;2246.5504;2636.7904;1302.6765
30.73;1390.3935;2113.8538;2398.0066;2502.2752;1458.7564
30.68;1272.8037;2202.3839;2590.1313;2483.2245;1502.9604
30.63;1371.6759;2420.9243;2542.9314;2516.918;1425.8074
30.58;1519.138;2312.6849;2515.1503;2511.1426;1342.1011
30.53;1723.4508;2095.1393;2771.905;2514.4319;1336.2122
30.48;1568.0641;1917.699;2354.6685;2580.2537;1344.2297
30.43;1546.6281;2033.0399;2196.9176;2485.158;1432.8195
30.38;1521.9105;2028.3486;2625.6175;2536.7426;1272.2565
30.33;1612.1982;2131.0869;2542.2177;2493.5446;1350.265
30.28;1512.1328;2267.258;2677.3446;2263.147;1660.2091
30.23;1468.2472;1974.9069;2714.8125;2501.3454;1506.9148
30.18;1592.7013;2015.6246;2761.4139;2653.5338;1245.4153
30.13;1763.1424;2180.1694;2519.2266;2705.2689;1351.208
30.08;1667.6963;2087.0304;2581.8831;2784.5157;1386.1158
30.03;1734.9019;1847.3246;2506.9278;2712.5811;1460.5938
29.98;1806.3188;1928.0625;2543.6296;2650.0711;1455.3785
29.93;1777.5961;2118.3537;2805.1588;2557.978;1518.4354
29.88;1421.9047;2142.5171;2508.2781;2584.5529;1724.166
29.83;1455.2784;2356.7087;2598.4784;2438.7833;1427.1711
29.78;1586.6053;2201.2542;2648.8587;2509.7218;1535.0118
29.73;1516.1386;1915.6593;2556.1378;2615.6086;1386.2401
29.68;1612.8507;2216.708;2566.1137;2770.0914;1444.4925
29.63;1582.5888;2380.3958;2626.7377;2388.4128;1372.167
29.58;1580.5759;2211.0775;2347.9859;2649.7387;1439.76
29.53;1721.3577;2267.9804;2533.7427;2692.6741;1429.9718
29.48;1909.7028;2307.8324;2618.7934;2677.3993;1394.086
29.43;1456.1307;2275.4655;2629.7604;2696.8103;1337.6426
29.38;1611.728;2398.5529;2528.1055;2641.172;1482.1273
29.33;1419.0081;2433.78;2416.1993;2788.9827;1591.8381
29.28;1520.9793;2260.8062;2432.9947;2740.7528;1722.3817
29.23;1599.6197;2526.7531;2352.3892;2844.3362;1561.3362
29.18;1398.3823;2408.4009;2537.4121;2732.8867;1447.448
29.13;1444.9259;2220.5297;2499.5196;2710.304;1493.8781
29.08;1821.0586;2155.6164;3014.3503;2784.4738;1514.2322
